"lemma","poscode","surface"
"Punto Fijo","3","Punto Fijo"
"Tucacas","3","Tucacas"
"Urumaco","3","Urumaco"
"Altagracia de Orituco","3","Altagracia de Orituco"
"Calabozo","3","Calabozo"
"Chaguaramas","3","Chaguaramas"
"El Socorro","3","El Socorro"
"Guayabal","3","Guayabal"
"Ortiz","3","Ortiz"
"San Juan de Los Morros","3","San Juan de Los Morros"
"Valle de la Pascua","3","Valle de la Pascua"
"Zaraza","3","Zaraza"
"Barquisimeto","3","Barquisimeto"
"Cabudare","3","Cabudare"
"Carora","3","Carora"
"El Tocuyo","3","El Tocuyo"
"Sanare","3","Sanare"
"Sarare","3","Sarare"
"Quíbor","3","Quíbor"
"Bailadores","3","Bailadores"
"Ejido","3","Ejido"
"El Vigía","3","El Vigía"
"Mérida","3","Mérida"
"Mucuchíes","3","Mucuchíes"
"Caracas","3","Caracas"
"Charallave","3","Charallave"
"Cúa","3","Cúa"
"Cúpira","3","Cúpira"
"Guarenas","3","Guarenas"
"Guatire","3","Guatire"
"Higuerote","3","Higuerote"
"Los Teques","3","Los Teques"
"Mamporal","3","Mamporal"
"Petare","3","Petare"
"Ocumare del Tuy","3","Ocumare del Tuy"
"Río Chico","3","Río Chico"
"San Antonio de Los Altos","3","San Antonio de Los Altos"
"San Francisco de Yare","3","San Francisco de Yare"
"San José de Barlovento","3","San José de Barlovento"
"Santa Lucía","3","Santa Lucía"
"Santa Teresa del Tuy","3","Santa Teresa del Tuy"
"Aragua de Maturín","3","Aragua de Maturín"
"Caripe","3","Caripe"
"Caripito","3","Caripito"
"Maturín","3","Maturín"
"Punta de Mata","3","Punta de Mata"
"Juan Griego","3","Juan Griego"
"La Asunción","3","La Asunción"
"Pampatar","3","Pampatar"
"Porlamar","3","Porlamar"
"Acarigua","3","Acarigua"
"Araure","3","Araure"
"Guanare","3","Guanare"
"Ospino","3","Ospino"
"Araya","3","Araya"
"Carúpano","3","Carúpano"
"Casanay","3","Casanay"
"Cumaná","3","Cumaná"
"Marigüitar","3","Marigüitar"
"Río Caribe","3","Río Caribe"
"Colón","3","Colón"
"La Fría","3","La Fría"
"La Grita","3","La Grita"
"Michelena","3","Michelena"
"Palmira","3","Palmira"
"Pregonero","3","Pregonero"
"Queniquea","3","Queniquea"
"San Antonio del Táchira","3","San Antonio del Táchira"
"Santa Ana del Táchira","3","Santa Ana del Táchira"
"San Cristóbal","3","San Cristóbal"
"Táriba","3","Táriba"
"Rubio","3","Rubio"
"Boconó","3","Boconó"
"La Quebrada","3","La Quebrada"
"Monte Carmelo","3","Monte Carmelo"
"Trujillo","3","Trujillo"
"Valera","3","Valera"
"Catia La Mar","3","Catia La Mar"
"La Guaira","3","La Guaira"
"Maiquetia","3","Maiquetia"
"Chivacoa","3","Chivacoa"
"Guama","3","Guama"
"San Felipe","3","San Felipe"
"Yaritagua","3","Yaritagua"
"Nirgua","3","Nirgua"
"Cabimas","3","Cabimas"
"Ciudad Ojeda","3","Ciudad Ojeda"
"La Villa del Rosario","3","La Villa del Rosario"
"Machiques","3","Machiques"
"Maracaibo","3","Maracaibo"
"San Rafael del Moján","3","San Rafael del Moján"
"Sinamaica","3","Sinamaica"
"San Carlos del Zulia","3","San Carlos del Zulia"
